t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1552575249,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575259,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575269,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575279,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575289,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575299,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575309,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575319,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575329,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575339,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575349,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575359,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575369,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575379,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575389,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575399,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575409,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575419,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575429,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575439,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575449,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575459,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575469,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575479,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575489,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575499,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575509,0,0.000000,0.000000,0.000000,0.000000,events/second
1552575519,0,0.000000,0.000000,0.000000,0.000000,events/second
